sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings,target
0,0.543,0.478,0.188,1.9046,0.9032,0.4285,0.314,11,1
1,0.507,0.453,0.074,0.8868,0.4903,0.2456,0.2384,8,0
1,0.364,0.327,0.073,1.9831,0.7648,0.2756,0.6546,9,1
1,0.338,0.29,0.086,1.0975,0.5896,0.2702,0.1515,5,0
2,0.108,0.09,0.018,0.0025,0.001,0.0004,0.0009,4,0
2,0.236,0.182,0.065,0.4612,0.2473,0.1204,0.1627,5,0
0,0.086,0.063,0.024,2.4945,1.0859,0.5904,0.7938,1,0
1,0.505,0.361,0.082,0.6309,0.2114,0.1291,0.1437,14,2
0,0.153,0.128,0.052,0.3209,0.133,0.0738,0.0322,5,0
0,0.721,0.618,0.209,1.9285,0.7136,0.5309,0.6179,16,2
0,0.462,0.4,0.09,1.2466,0.4116,0.221,0.4534,9,1
0,0.593,0.523,0.101,2.2516,0.75,0.5716,0.4516,10,1
1,0.379,0.332,0.138,2.4347,1.3002,0.3208,0.7679,8,0
0,0.49,0.441,0.172,2.3911,1.3496,0.5744,0.2836,13,2
1,0.773,0.579,0.131,0.8859,0.5122,0.2216,0.2772,13,2
1,0.136,0.116,0.015,1.4297,0.7952,0.2696,0.1723,4,0
2,0.263,0.215,0.09,1.838,1.0092,0.4755,0.5076,8,0
1,0.652,0.49,0.186,0.9113,0.2922,0.1927,0.2545,16,2
2,0.148,0.133,0.019,0.1181,0.0634,0.0339,0.0225,1,0
1,0.131,0.115,0.036,1.4018,0.7499,0.1717,0.1735,2,0
1,0.343,0.249,0.081,0.0382,0.013,0.0048,0.0147,7,0
1,0.143,0.101,0.048,2.6866,1.3395,0.7213,0.7003,4,0
2,0.508,0.426,0.083,2.2518,0.9812,0.6045,0.6168,13,2
2,0.242,0.199,0.057,0.5442,0.3102,0.1057,0.1548,4,0
0,0.738,0.655,0.108,0.8141,0.4141,0.2384,0.299,17,2
2,0.655,0.489,0.254,2.7775,1.6257,0.6552,0.328,8,0
2,0.593,0.425,0.198,1.0569,0.3503,0.3134,0.3889,11,1
2,0.532,0.4,0.171,2.2152,0.6915,0.4574,0.3808,13,2
2,0.714,0.503,0.219,1.2638,0.7483,0.1773,0.1559,16,2
0,0.24,0.17,0.054,2.4422,0.7914,0.4613,0.7258,3,0
2,0.721,0.637,0.272,1.9894,0.8273,0.5891,0.782,16,2
1,0.659,0.508,0.08,0.0667,0.033,0.0116,0.0078,10,1
1,0.629,0.492,0.214,0.8334,0.4701,0.2429,0.1899,15,2
2,0.49,0.345,0.081,1.5778,0.5938,0.4093,0.4085,9,1
2,0.257,0.194,0.051,2.6175,0.8081,0.4932,0.4597,4,0
1,0.388,0.334,0.099,0.2901,0.1324,0.0604,0.1145,7,0
1,0.662,0.545,0.222,1.6997,0.7501,0.3765,0.4968,14,2
0,0.099,0.084,0.035,0.8553,0.3353,0.1994,0.3022,6,0
1,0.654,0.516,0.18,2.5135,1.413,0.2899,0.5649,16,2
1,0.253,0.193,0.056,2.1628,1.135,0.6201,0.4459,3,0
2,0.182,0.145,0.07,1.046,0.5831,0.2295,0.2782,2,0
1,0.161,0.123,0.028,0.4739,0.1652,0.1356,0.1093,1,0
0,0.095,0.082,0.032,0.0345,0.0175,0.0078,0.0108,3,0
1,0.462,0.351,0.131,1.7561,1.0405,0.327,0.3157,9,1
2,0.237,0.197,0.05,1.1489,0.5556,0.2452,0.2699,6,0
2,0.807,0.587,0.081,0.8909,0.3131,0.2369,0.3283,15,2
1,0.5,0.419,0.117,2.7851,1.6675,0.4602,0.9103,9,1
2,0.177,0.156,0.032,1.3184,0.6045,0.384,0.1983,1,0
0,0.585,0.481,0.077,2.1195,1.17,0.4095,0.7759,14,2
0,0.739,0.6,0.091,0.503,0.1734,0.1465,0.1392,14,2
1,0.626,0.559,0.128,0.04,0.02,0.011,0.0122,11,1
1,0.132,0.109,0.038,1.1812,0.6778,0.2995,0.2224,5,0
1,0.738,0.555,0.259,1.8818,0.8649,0.3641,0.4374,12,2
2,0.663,0.503,0.103,1.4326,0.5538,0.3114,0.49,14,2
0,0.192,0.161,0.044,2.5167,0.8512,0.6735,0.5013,2,0
0,0.113,0.096,0.025,1.2276,0.4773,0.2563,0.1835,2,0
2,0.487,0.37,0.124,0.8803,0.3578,0.218,0.1879,6,0
0,0.19,0.146,0.065,2.5889,1.3281,0.6683,0.3127,5,0
1,0.693,0.622,0.184,1.1508,0.4069,0.2332,0.3629,18,2
1,0.34,0.245,0.12,0.7635,0.2534,0.1582,0.1102,4,0
1,0.751,0.586,0.192,0.2778,0.1156,0.0388,0.0515,17,2
0,0.494,0.352,0.139,2.2423,0.9812,0.334,0.8169,10,1
1,0.21,0.181,0.049,2.3321,1.1393,0.6553,0.6114,5,0
2,0.178,0.128,0.062,0.096,0.0492,0.0257,0.0189,1,0
2,0.502,0.419,0.189,1.0148,0.5752,0.1035,0.2682,8,0
0,0.639,0.455,0.186,2.1197,0.8197,0.5805,0.3508,13,2
2,0.653,0.545,0.226,2.6746,1.2265,0.281,0.2877,13,2
2,0.279,0.242,0.033,1.069,0.4381,0.2049,0.3005,6,0
0,0.226,0.176,0.084,2.4647,0.7405,0.2797,0.7745,2,0
1,0.087,0.07,0.014,1.1139,0.5278,0.3272,0.4054,3,0
1,0.578,0.451,0.102,0.5089,0.2772,0.1499,0.1687,12,2
1,0.132,0.1,0.015,0.0117,0.0036,0.0026,0.0044,5,0
0,0.386,0.332,0.15,0.9344,0.2813,0.1667,0.3698,8,0
2,0.52,0.392,0.185,1.0708,0.555,0.2167,0.3464,15,2
1,0.768,0.649,0.287,2.671,1.3493,0.6743,0.9626,19,2
1,0.306,0.227,0.108,0.5839,0.2463,0.0845,0.1764,6,0
0,0.26,0.195,0.063,1.0814,0.5391,0.2037,0.1636,5,0
1,0.559,0.429,0.211,0.073,0.0428,0.0181,0.0113,10,1
0,0.533,0.436,0.208,2.1582,0.8079,0.3865,0.2872,8,0
2,0.321,0.254,0.08,2.5864,0.9667,0.2752,0.9903,6,0
0,0.762,0.647,0.116,0.6736,0.2397,0.1357,0.2033,14,2
0,0.7,0.52,0.208,1.2135,0.6276,0.3003,0.4089,12,2
0,0.241,0.169,0.095,0.3468,0.1408,0.1024,0.0691,6,0
0,0.252,0.216,0.091,1.2921,0.7709,0.1388,0.3077,2,0
2,0.454,0.392,0.163,0.3786,0.1947,0.0787,0.0424,7,0
2,0.647,0.461,0.246,1.4799,0.6071,0.2812,0.5427,9,1
1,0.108,0.089,0.04,2.0766,0.7159,0.3084,0.7391,1,0
2,0.588,0.456,0.196,1.5646,0.7473,0.356,0.5248,11,1
2,0.555,0.477,0.175,0.6945,0.2698,0.0922,0.0816,13,2
1,0.246,0.215,0.044,1.0011,0.5723,0.1569,0.1524,9,1
2,0.579,0.504,0.166,1.8053,0.7807,0.4628,0.3615,8,0
0,0.771,0.66,0.198,1.6675,0.6466,0.3203,0.2983,17,2
0,0.11,0.083,0.039,0.3883,0.1851,0.116,0.1365,1,0
1,0.312,0.269,0.077,2.3881,0.8146,0.4234,0.3784,7,0
1,0.399,0.322,0.055,1.3439,0.6296,0.2589,0.3489,9,1
1,0.74,0.526,0.075,0.4605,0.1459,0.0737,0.125,18,2
0,0.787,0.623,0.239,0.3489,0.1682,0.0514,0.0794,21,2
2,0.404,0.359,0.107,2.7287,1.2526,0.7762,0.4699,10,1
0,0.63,0.553,0.126,0.7971,0.3637,0.1991,0.3093,12,2
1,0.468,0.337,0.071,2.5679,1.2974,0.428,0.5753,6,0
2,0.473,0.401,0.114,1.1615,0.3639,0.2788,0.3696,10,1
2,0.281,0.242,0.037,1.0918,0.4781,0.3201,0.1695,7,0
0,0.236,0.178,0.047,1.9814,0.8584,0.2275,0.6872,2,0
1,0.288,0.229,0.062,0.0299,0.0131,0.0046,0.0049,7,0
0,0.487,0.41,0.117,0.9568,0.5683,0.1341,0.2895,9,1
2,0.097,0.076,0.023,0.8567,0.2928,0.2347,0.2158,1,0
0,0.746,0.539,0.132,2.4535,1.2442,0.3333,0.3532,15,2
0,0.191,0.161,0.068,1.4962,0.6293,0.2418,0.1608,2,0
1,0.238,0.21,0.049,1.0315,0.4678,0.2153,0.3912,2,0
1,0.459,0.381,0.078,0.7534,0.3983,0.1689,0.1037,10,1
2,0.6,0.513,0.092,1.6696,0.5797,0.4368,0.5201,13,2
0,0.146,0.113,0.029,0.4303,0.2277,0.0781,0.1273,2,0
0,0.31,0.228,0.037,0.6973,0.2239,0.1442,0.1412,7,0
0,0.792,0.656,0.087,0.8312,0.3699,0.2436,0.1293,18,2
2,0.269,0.206,0.076,1.7187,0.8982,0.2741,0.2638,7,0
2,0.307,0.268,0.088,1.0561,0.3778,0.158,0.2911,4,0
1,0.694,0.503,0.18,1.4303,0.7599,0.3463,0.3777,14,2
1,0.112,0.088,0.037,1.8388,0.6437,0.4675,0.6671,1,0
1,0.419,0.327,0.047,2.7025,1.4587,0.4944,0.7891,6,0
0,0.356,0.316,0.136,2.1619,0.9527,0.3083,0.7475,8,0
0,0.309,0.226,0.04,1.1464,0.5794,0.2932,0.1258,8,0
1,0.286,0.201,0.086,2.1151,1.2167,0.4951,0.6373,5,0
0,0.143,0.107,0.02,2.6839,1.134,0.7387,0.4566,3,0
1,0.308,0.266,0.112,1.4123,0.5224,0.3797,0.2484,9,1
2,0.107,0.079,0.027,1.1612,0.6504,0.1638,0.3671,4,0
1,0.653,0.489,0.081,0.2223,0.0775,0.0592,0.0751,12,2
2,0.37,0.269,0.105,2.5221,1.2344,0.3406,0.5335,7,0
0,0.403,0.34,0.041,0.6979,0.4027,0.1903,0.2352,7,0
1,0.736,0.525,0.245,0.1826,0.0917,0.0464,0.0426,15,2
0,0.562,0.431,0.166,1.5191,0.5449,0.325,0.5428,11,1
2,0.081,0.061,0.013,2.3908,0.8265,0.5462,0.2569,1,0
2,0.773,0.627,0.164,1.1503,0.4322,0.139,0.1438,15,2
2,0.25,0.212,0.026,2.2134,0.9239,0.239,0.7369,1,0
0,0.155,0.125,0.048,2.364,0.8221,0.3927,0.679,1,0
0,0.643,0.57,0.127,1.2852,0.6932,0.3397,0.3441,14,2
0,0.445,0.396,0.121,1.6709,0.6802,0.3227,0.4749,9,1
0,0.396,0.306,0.153,1.5098,0.8769,0.2184,0.5723,10,1
2,0.26,0.222,0.049,2.6543,1.4672,0.7085,0.7874,5,0
2,0.48,0.407,0.191,2.0508,1.1744,0.2989,0.6034,9,1
1,0.278,0.244,0.081,2.6152,1.0156,0.6881,0.8574,9,1
1,0.742,0.586,0.128,0.6233,0.2943,0.1188,0.2244,14,2
0,0.234,0.189,0.054,0.8781,0.3481,0.1692,0.1568,4,0
2,0.729,0.571,0.235,0.2023,0.0763,0.0313,0.0577,15,2
2,0.489,0.425,0.114,1.4137,0.6816,0.3959,0.389,8,0
2,0.688,0.513,0.083,2.47,1.3471,0.2909,0.3469,14,2
1,0.603,0.451,0.091,0.925,0.3035,0.1192,0.2369,11,1
1,0.591,0.458,0.199,0.3643,0.1394,0.0828,0.044,11,1
2,0.315,0.235,0.093,0.1953,0.0706,0.0527,0.0304,5,0
2,0.248,0.201,0.067,1.2657,0.6829,0.1507,0.4732,1,0
2,0.231,0.168,0.035,0.4652,0.2698,0.1148,0.0632,1,0
1,0.709,0.542,0.249,0.9794,0.3173,0.2434,0.268,11,1
2,0.682,0.602,0.265,2.3176,0.9589,0.5013,0.4567,16,2
2,0.401,0.314,0.045,1.0865,0.624,0.2144,0.2897,8,0
0,0.173,0.147,0.021,1.7243,0.6956,0.2832,0.294,2,0
0,0.358,0.259,0.131,1.4201,0.7296,0.2418,0.3313,5,0
1,0.533,0.399,0.184,2.0311,0.6707,0.4771,0.7316,13,2
2,0.411,0.354,0.117,0.443,0.192,0.0501,0.0943,7,0
2,0.652,0.556,0.25,2.6013,1.1732,0.5644,0.5356,11,1
0,0.813,0.632,0.239,1.8196,0.9595,0.2834,0.4255,12,2
1,0.216,0.192,0.036,0.7672,0.2966,0.1483,0.0998,1,0
0,0.415,0.366,0.132,0.3501,0.1328,0.0741,0.0757,9,1
0,0.394,0.352,0.116,0.4248,0.1661,0.1177,0.0434,11,1
0,0.3,0.236,0.119,2.2122,1.0325,0.4774,0.5553,7,0
0,0.222,0.164,0.036,1.6628,0.9358,0.2418,0.5893,5,0
2,0.124,0.102,0.035,1.0773,0.5917,0.1249,0.2862,6,0
2,0.731,0.612,0.244,0.9421,0.299,0.2123,0.266,16,2
0,0.386,0.28,0.078,2.4187,1.3634,0.5055,0.264,8,0
1,0.443,0.38,0.095,2.4723,0.8122,0.5794,0.8847,10,1
1,0.754,0.531,0.276,1.6435,0.6978,0.3154,0.3542,17,2
1,0.649,0.517,0.144,1.4833,0.7856,0.3931,0.5821,14,2
1,0.172,0.132,0.049,2.3076,0.7487,0.6554,0.3142,2,0
0,0.493,0.418,0.181,2.1181,0.6611,0.2288,0.8121,11,1
2,0.402,0.307,0.066,1.1325,0.4519,0.2818,0.3288,7,0
1,0.665,0.575,0.262,0.2357,0.1223,0.0252,0.0273,13,2
0,0.611,0.5,0.19,2.1722,0.9917,0.4106,0.8504,13,2
1,0.586,0.503,0.146,0.4784,0.2034,0.092,0.0498,15,2
1,0.327,0.294,0.075,0.0482,0.0262,0.0115,0.0154,7,0
0,0.671,0.561,0.259,2.3835,1.2633,0.4063,0.8744,13,2
2,0.114,0.102,0.018,1.635,0.8761,0.4319,0.2497,1,0
2,0.193,0.136,0.037,2.5201,1.1036,0.4248,0.5116,3,0
0,0.323,0.248,0.062,1.3705,0.4191,0.2309,0.3678,6,0
2,0.132,0.095,0.025,2.6184,0.9207,0.3785,0.7958,3,0
0,0.249,0.187,0.06,1.0016,0.5232,0.2372,0.3621,7,0
0,0.689,0.598,0.273,2.0481,1.0772,0.2362,0.6724,11,1
0,0.777,0.549,0.285,0.852,0.5041,0.1471,0.1781,17,2
2,0.3,0.241,0.06,0.0053,0.0019,0.0008,0.0018,5,0
0,0.271,0.22,0.061,1.0744,0.3619,0.1567,0.4188,4,0
1,0.282,0.229,0.085,2.0854,0.7124,0.234,0.3505,7,0
2,0.281,0.223,0.03,0.4257,0.1513,0.0588,0.052,5,0
2,0.102,0.088,0.035,1.4276,0.6546,0.2702,0.3255,3,0
2,0.761,0.553,0.277,0.6016,0.3565,0.1208,0.2192,16,2
2,0.233,0.178,0.083,0.2127,0.1014,0.0327,0.0309,6,0
1,0.386,0.318,0.082,1.7457,0.7974,0.4016,0.6385,10,1
2,0.082,0.069,0.02,2.6904,1.3506,0.4497,1.0699,1,0
2,0.71,0.554,0.074,0.8794,0.2833,0.1525,0.1022,15,2
0,0.616,0.539,0.135,1.6417,0.8941,0.4211,0.4081,11,1
2,0.776,0.608,0.185,2.695,1.3315,0.567,0.5354,16,2
1,0.653,0.51,0.243,1.839,0.6461,0.5345,0.4011,10,1
1,0.307,0.217,0.113,1.9029,0.9309,0.327,0.4481,6,0
1,0.258,0.209,0.101,0.5073,0.2429,0.1347,0.1633,1,0
1,0.591,0.497,0.216,1.3931,0.445,0.345,0.3864,12,2
2,0.344,0.249,0.035,1.0386,0.3948,0.2888,0.4034,7,0
2,0.494,0.376,0.144,1.332,0.5558,0.3881,0.2662,9,1
1,0.08,0.069,0.01,2.2635,0.8453,0.2298,0.5941,1,0
1,0.121,0.094,0.022,1.303,0.486,0.1533,0.4482,2,0
2,0.471,0.352,0.129,0.1795,0.0847,0.0422,0.038,6,0
1,0.494,0.412,0.153,2.5592,1.1293,0.4556,0.6132,7,0
0,0.631,0.467,0.187,1.5406,0.7706,0.4064,0.4706,13,2
1,0.173,0.152,0.02,2.6128,1.5335,0.2675,0.936,6,0
1,0.455,0.328,0.06,1.6183,0.8062,0.423,0.3636,11,1
0,0.219,0.184,0.03,0.1987,0.0943,0.0252,0.0516,1,0
0,0.144,0.115,0.018,1.5633,0.8665,0.2471,0.6137,5,0
2,0.379,0.331,0.058,1.6279,0.7971,0.4783,0.1835,10,1
2,0.196,0.142,0.06,0.6073,0.2124,0.067,0.1424,2,0
0,0.239,0.2,0.083,1.3322,0.5255,0.2262,0.3874,3,0
0,0.31,0.252,0.069,1.2995,0.6758,0.1519,0.1332,5,0
2,0.267,0.213,0.082,1.761,0.9184,0.4767,0.4914,6,0
1,0.14,0.112,0.022,0.7352,0.4383,0.1769,0.0859,2,0
0,0.142,0.12,0.056,1.6449,0.8029,0.4278,0.5877,4,0
2,0.218,0.193,0.045,0.6824,0.3889,0.1402,0.2335,2,0
1,0.112,0.08,0.04,1.2628,0.3995,0.2166,0.1385,1,0
0,0.539,0.379,0.207,0.3485,0.1637,0.035,0.04,9,1
1,0.288,0.248,0.104,0.1073,0.0618,0.0167,0.035,4,0
2,0.282,0.204,0.034,0.9073,0.3504,0.1841,0.1913,6,0
0,0.321,0.288,0.095,0.7774,0.2693,0.181,0.2118,7,0
1,0.565,0.465,0.077,1.1512,0.4664,0.1678,0.2085,13,2
0,0.719,0.597,0.073,2.7186,1.4617,0.3474,0.4129,17,2
1,0.637,0.471,0.074,1.4768,0.4806,0.2072,0.2789,14,2
2,0.613,0.459,0.23,1.5642,0.751,0.2672,0.2722,9,1
2,0.433,0.36,0.161,2.6611,0.9066,0.3451,0.624,8,0
0,0.588,0.519,0.099,2.6033,1.1211,0.342,0.8435,11,1
1,0.484,0.434,0.128,2.4987,1.4737,0.2717,0.6653,10,1
0,0.235,0.174,0.091,0.2787,0.0999,0.0756,0.0788,3,0
0,0.229,0.166,0.057,1.7933,0.5563,0.2581,0.4322,8,0
1,0.294,0.209,0.064,2.2841,0.978,0.6039,0.4509,5,0
1,0.749,0.654,0.183,2.3617,1.1178,0.4432,0.3378,14,2
1,0.48,0.364,0.162,1.634,0.636,0.3701,0.3372,9,1
2,0.618,0.433,0.15,0.0514,0.0238,0.0059,0.0154,11,1
0,0.331,0.247,0.111,2.7518,1.6126,0.5964,0.8809,3,0
0,0.377,0.29,0.087,1.3355,0.5256,0.211,0.3215,10,1
2,0.168,0.151,0.03,1.1135,0.4374,0.1326,0.3268,2,0
1,0.202,0.163,0.04,1.1173,0.497,0.3147,0.1823,5,0
2,0.687,0.509,0.085,1.1998,0.5454,0.2648,0.4296,13,2
2,0.508,0.39,0.127,0.6859,0.2061,0.1017,0.2468,9,1
2,0.325,0.249,0.047,0.9264,0.4491,0.1704,0.1817,4,0
0,0.669,0.471,0.23,2.7846,1.6686,0.4772,0.736,10,1
2,0.257,0.187,0.058,1.0417,0.4038,0.2501,0.2938,4,0
0,0.797,0.669,0.263,1.4895,0.7287,0.3299,0.3601,15,2
0,0.33,0.239,0.127,2.3976,0.7226,0.2492,0.8951,9,1
0,0.325,0.242,0.115,1.4915,0.7179,0.2082,0.4801,7,0
1,0.306,0.236,0.118,0.9183,0.3987,0.1796,0.2771,8,0
0,0.165,0.141,0.045,1.4811,0.68,0.2801,0.3792,1,0
0,0.157,0.128,0.023,0.3242,0.1502,0.0659,0.0407,3,0
1,0.555,0.465,0.211,0.3691,0.1303,0.0897,0.0488,12,2
0,0.723,0.588,0.261,1.9622,1.0419,0.4639,0.3722,15,2
2,0.66,0.552,0.237,2.5929,1.21,0.4526,0.4238,14,2
2,0.179,0.125,0.055,2.0513,0.7817,0.5652,0.7913,3,0
0,0.479,0.424,0.138,0.2127,0.1236,0.0239,0.0474,7,0
1,0.153,0.11,0.016,1.1398,0.3463,0.2472,0.4137,1,0
2,0.109,0.085,0.035,0.0092,0.0048,0.0027,0.0032,4,0
1,0.561,0.479,0.072,1.4456,0.599,0.3033,0.497,10,1
1,0.471,0.371,0.084,0.5476,0.2501,0.1046,0.0902,9,1
2,0.136,0.121,0.036,2.4536,0.9507,0.3111,0.5746,1,0
1,0.101,0.08,0.024,0.2966,0.1176,0.0777,0.058,1,0
2,0.807,0.706,0.085,0.006,0.0018,0.001,0.0023,13,2
1,0.097,0.084,0.034,1.276,0.6622,0.3066,0.4632,5,0
2,0.404,0.362,0.147,0.4409,0.2263,0.0615,0.0771,4,0
0,0.448,0.397,0.136,2.0861,1.0353,0.2261,0.4048,10,1
2,0.162,0.142,0.042,2.5999,1.4647,0.4188,0.6725,5,0
2,0.2,0.169,0.078,0.1204,0.0687,0.0188,0.0221,4,0
2,0.335,0.259,0.046,1.1191,0.5225,0.3074,0.3887,6,0
2,0.639,0.461,0.205,2.817,1.4238,0.7689,0.974,13,2
1,0.45,0.377,0.062,2.0711,0.6282,0.4283,0.6572,8,0
0,0.547,0.49,0.117,2.6938,1.4921,0.2796,0.8264,13,2
2,0.804,0.68,0.222,0.4654,0.2536,0.0678,0.123,18,2
1,0.643,0.57,0.206,0.6271,0.1919,0.1429,0.128,14,2
0,0.396,0.341,0.04,0.4392,0.2033,0.0528,0.1542,5,0
0,0.405,0.297,0.072,0.8559,0.4896,0.2055,0.3061,9,1
0,0.533,0.4,0.139,2.0477,0.7257,0.2097,0.2352,13,2
0,0.567,0.436,0.147,0.4678,0.1898,0.1106,0.1027,13,2
2,0.446,0.327,0.13,1.4824,0.5919,0.3986,0.1601,11,1
2,0.552,0.451,0.106,0.7622,0.31,0.1477,0.2682,10,1
1,0.092,0.082,0.024,2.3436,0.7325,0.623,0.3589,1,0
1,0.393,0.335,0.062,0.0206,0.0079,0.0053,0.0062,10,1
1,0.281,0.22,0.044,0.6321,0.2455,0.1481,0.131,7,0
0,0.171,0.12,0.047,1.7112,0.9579,0.3235,0.5901,3,0
0,0.149,0.114,0.046,0.2751,0.1116,0.0425,0.0696,2,0
2,0.521,0.42,0.071,1.3189,0.5726,0.359,0.2602,10,1
0,0.462,0.353,0.063,1.2338,0.5111,0.2834,0.2433,9,1
0,0.263,0.19,0.071,2.4095,0.8101,0.6255,0.4773,5,0
0,0.424,0.334,0.077,1.7681,1.0557,0.372,0.5951,15,2
1,0.439,0.33,0.096,1.8085,0.9906,0.243,0.5667,7,0
1,0.219,0.193,0.048,2.6899,1.2435,0.7959,0.5266,1,0
2,0.558,0.402,0.086,2.7762,1.2296,0.3791,0.6859,10,1
0,0.653,0.464,0.066,1.8472,0.914,0.5214,0.2269,14,2
0,0.661,0.463,0.235,1.4761,0.5874,0.2091,0.5141,14,2
2,0.521,0.399,0.164,1.7188,0.5416,0.3004,0.309,8,0
0,0.454,0.378,0.139,1.082,0.4558,0.2034,0.3968,8,0
0,0.12,0.102,0.032,2.7906,1.6609,0.7933,0.7787,4,0
1,0.288,0.228,0.089,1.993,0.7069,0.5533,0.5388,6,0
2,0.144,0.121,0.055,0.8238,0.3776,0.218,0.1226,1,0
2,0.788,0.608,0.236,0.1651,0.05,0.0289,0.02,14,2
2,0.175,0.146,0.031,0.1283,0.0432,0.0129,0.0341,6,0
2,0.187,0.132,0.051,0.5807,0.2765,0.1372,0.1396,3,0
1,0.733,0.57,0.171,0.6597,0.2568,0.1202,0.0897,15,2
1,0.774,0.664,0.207,1.1741,0.6712,0.2952,0.4117,12,2
0,0.642,0.553,0.164,0.6087,0.2568,0.1576,0.1371,12,2
0,0.079,0.067,0.028,1.7837,0.6464,0.3352,0.3177,7,0
0,0.076,0.056,0.022,0.5986,0.2776,0.1494,0.2014,5,0
0,0.355,0.266,0.056,0.5326,0.2868,0.1427,0.1991,8,0
1,0.181,0.163,0.022,1.3328,0.4076,0.3808,0.2556,7,0
2,0.089,0.064,0.02,2.5116,1.1344,0.5437,0.8358,3,0
1,0.418,0.308,0.044,1.3245,0.7047,0.3387,0.3917,13,2
0,0.773,0.561,0.151,1.1707,0.3876,0.2329,0.4647,17,2
1,0.315,0.241,0.066,1.6345,0.933,0.1771,0.2635,9,1
2,0.564,0.419,0.12,0.7284,0.2763,0.0955,0.2828,7,0
2,0.558,0.446,0.22,1.0001,0.3512,0.1257,0.1946,12,2
1,0.261,0.208,0.05,0.6059,0.2889,0.0814,0.1355,4,0
1,0.556,0.489,0.1,1.6168,0.5699,0.165,0.3357,12,2
1,0.232,0.164,0.032,1.9714,0.9934,0.5357,0.3559,6,0
0,0.165,0.126,0.042,1.9045,0.8514,0.4038,0.5865,6,0
1,0.594,0.487,0.087,0.7216,0.2403,0.1275,0.1997,14,2
1,0.159,0.131,0.045,2.2037,1.2644,0.401,0.4225,1,0
1,0.813,0.647,0.119,0.7248,0.3638,0.1396,0.1012,13,2
2,0.211,0.182,0.058,0.4265,0.1978,0.049,0.0833,4,0
2,0.515,0.367,0.179,0.9899,0.4081,0.1534,0.2122,12,2
0,0.379,0.327,0.043,1.69,0.5754,0.4568,0.362,9,1
0,0.169,0.135,0.038,0.403,0.2064,0.1002,0.0835,4,0
2,0.096,0.07,0.023,1.8322,0.9969,0.3897,0.21,3,0
2,0.536,0.47,0.181,2.4393,0.8239,0.4784,0.5835,12,2
2,0.672,0.558,0.162,0.8298,0.3721,0.126,0.2911,14,2
1,0.698,0.511,0.189,1.2734,0.5672,0.2474,0.1962,15,2
1,0.432,0.305,0.146,0.6467,0.2619,0.142,0.0929,10,1
2,0.65,0.473,0.174,1.0222,0.5487,0.2479,0.2469,13,2
1,0.573,0.471,0.119,0.064,0.0211,0.0085,0.0135,14,2
1,0.611,0.45,0.077,2.6954,0.9744,0.7079,0.7234,10,1
0,0.44,0.328,0.14,1.1765,0.3535,0.199,0.4519,12,2
2,0.544,0.384,0.197,2.2298,0.9184,0.4474,0.732,13,2
2,0.671,0.567,0.262,0.4048,0.1568,0.0897,0.1239,18,2
1,0.369,0.318,0.139,2.2961,1.286,0.4538,0.5161,4,0
2,0.671,0.577,0.228,2.4311,1.2733,0.5212,0.4527,13,2
0,0.513,0.372,0.15,2.0225,0.658,0.2474,0.5301,11,1
0,0.198,0.174,0.066,2.5527,1.3332,0.4759,0.9334,4,0
0,0.093,0.078,0.021,0.4742,0.2383,0.074,0.1721,1,0
2,0.343,0.302,0.096,1.3476,0.5182,0.1579,0.3149,7,0
2,0.48,0.379,0.098,1.7532,0.5341,0.2425,0.3048,12,2
2,0.696,0.548,0.138,1.6856,0.5639,0.3717,0.2825,14,2
2,0.169,0.145,0.055,2.4336,0.9126,0.3391,0.2682,1,0
2,0.667,0.479,0.158,0.6111,0.333,0.0832,0.2156,17,2
0,0.714,0.574,0.117,0.498,0.2189,0.1049,0.0894,12,2
1,0.187,0.162,0.03,0.7175,0.4129,0.2016,0.149,1,0
0,0.705,0.611,0.252,2.5197,1.3524,0.6494,0.8637,13,2
2,0.809,0.721,0.245,2.6595,1.0269,0.7474,0.3617,15,2
0,0.613,0.515,0.162,1.6106,0.8916,0.3488,0.3839,13,2
2,0.656,0.486,0.145,1.4179,0.475,0.258,0.1938,18,2
2,0.811,0.571,0.186,1.7116,0.532,0.4209,0.398,14,2
0,0.523,0.416,0.061,1.7425,0.8409,0.2653,0.1989,13,2
2,0.303,0.243,0.072,0.4829,0.1944,0.0558,0.1233,10,1
1,0.695,0.52,0.235,1.9404,0.7739,0.3278,0.6572,13,2
2,0.53,0.384,0.115,1.2794,0.6476,0.2045,0.3875,10,1
1,0.505,0.413,0.109,1.4631,0.8121,0.344,0.3698,11,1
1,0.263,0.224,0.028,0.0876,0.0347,0.0184,0.0305,4,0
2,0.635,0.571,0.151,2.1611,0.859,0.2759,0.3638,9,1
0,0.135,0.115,0.015,2.3612,1.0865,0.6652,0.8246,5,0
1,0.759,0.652,0.206,1.7512,0.8685,0.3829,0.3203,15,2
0,0.316,0.26,0.08,2.1164,0.7637,0.4054,0.4418,5,0
1,0.17,0.153,0.06,1.4781,0.8481,0.4249,0.2048,3,0
2,0.402,0.333,0.11,1.7482,0.8677,0.2088,0.2282,7,0
2,0.106,0.092,0.021,1.1163,0.5443,0.2879,0.4238,3,0
1,0.582,0.517,0.148,2.2383,1.2786,0.3871,0.3514,10,1
